Fecha;Casos-nuevos-con-sintomas;Casos-totales;Casos-recuperados;Fallecidos;Casos-activos;Casos-nuevos-sin-sintomas;Casos-nuevos-totales;Casos-activos-por-FD;Casos-activos-por-FIS;Casos-recuperados-por-FIS;Casos-recuperados-por-FD;Casos-confirmados-recuperados;Casos-activos-confirmados;Casos-probables-acumulados;Casos-activos-probables;Casos-nuevos-sin-notificar;Casos-confirmados-por-antigeno;Casos-con-sospecha-de-reinfeccion;Casos-nuevos-confirmados-por-antigeno
02-03-2020;1;1;0;0;1;;1;1;;;0;;;;;;;;
03-03-2020;0;1;0;0;1;;0;1;;;0;;;;;;;;
04-03-2020;2;3;0;0;3;;2;3;;;0;;;;;;;;
05-03-2020;1;4;0;0;4;;1;4;;;0;;;;;;;;
06-03-2020;1;5;0;0;5;;1;5;;;0;;;;;;;;
07-03-2020;2;7;0;0;7;;2;7;;;0;;;;;;;;
08-03-2020;3;10;0;0;10;;3;10;;;0;;;;;;;;
09-03-2020;5;15;0;0;15;;5;15;;;0;;;;;;;;
10-03-2020;2;17;0;0;17;;2;17;;;0;;;;;;;;
11-03-2020;6;23;0;0;23;;6;23;;;0;;;;;;;;
12-03-2020;10;33;0;0;33;;10;33;;;0;;;;;;;;
13-03-2020;10;43;0;0;43;;10;43;;;0;;;;;;;;
14-03-2020;18;61;0;0;61;;18;61;;;0;;;;;;;;
15-03-2020;14;75;0;0;75;;14;75;;;0;;;;;;;;
16-03-2020;81;156;0;0;156;;81;156;;;0;;;;;;;;
17-03-2020;45;201;1;0;200;;45;200;;;1;;;;;;;;
18-03-2020;37;238;3;0;235;;37;235;;;3;;;;;;;;
19-03-2020;104;342;4;0;338;;104;338;;;4;;;;;;;;
20-03-2020;92;434;5;0;429;;92;429;;;5;;;;;;;;
21-03-2020;103;537;6;0;531;;103;531;;;6;;;;;;;;
22-03-2020;95;632;8;1;623;;95;623;;;8;;;;;;;;
23-03-2020;114;746;11;1;734;;114;734;;;11;;;;;;;;
24-03-2020;176;922;17;2;903;;176;903;;;17;;;;;;;;
25-03-2020;220;1142;22;3;1117;;220;1117;;;22;;;;;;;;
26-03-2020;164;1306;33;4;1269;;164;1269;;;33;;;;;;;;
27-03-2020;304;1610;43;5;1562;;304;1562;;;43;;;;;;;;
28-03-2020;299;1909;61;6;1842;;299;1842;;;61;;;;;;;;
29-03-2020;230;2139;75;7;2057;;230;2057;;;75;;;;;;;;
30-03-2020;310;2449;156;8;2285;;310;2285;;;156;;;;;;;;
31-03-2020;289;2738;201;12;2525;;289;2525;;;201;;;;;;;;
01-04-2020;293;3031;234;16;2781;;293;2781;;;234;;;;;;;;
02-04-2020;373;3404;335;18;3051;;373;3051;;;335;;;;;;;;
03-04-2020;333;3737;427;22;3288;;333;3288;;;427;;;;;;;;
04-04-2020;424;4161;528;27;3606;;424;3606;;;528;;;;;;;;
05-04-2020;310;4471;617;34;3820;;310;3820;;;617;;;;;;;;
06-04-2020;344;4815;728;37;4050;;344;4050;;;728;;;;;;;;
07-04-2020;301;5116;898;43;4175;;301;4175;;;898;;;;;;;;
08-04-2020;430;5546;1115;48;4383;;430;4383;;;1115;;;;;;;;
09-04-2020;426;5972;1274;57;4641;;426;4641;;;1274;;;;;;;;
10-04-2020;529;6501;1571;65;4865;;529;4865;;;1571;;;;;;;;
11-04-2020;426;6927;1864;73;4990;;426;4990;;;1864;;;;;;;;
12-04-2020;286;7213;2059;80;5074;;286;5074;;;2059;;;;;;;;
13-04-2020;312;7525;2367;82;5076;;312;5076;;;2367;;;;;;;;
14-04-2020;392;7917;2646;92;5179;;392;5179;;;2646;;;;;;;;
15-04-2020;356;8273;2937;94;5242;;356;5242;;;2937;;;;;;;;
16-04-2020;534;8807;3299;105;5403;;534;5403;;;3299;;;;;;;;
17-04-2020;445;9252;3621;116;5515;;445;5515;;;3621;;;;;;;;
18-04-2020;478;9730;4035;126;5569;;478;5569;;;4035;;;;;;;;
19-04-2020;358;10088;4338;133;5617;;358;5617;;;4338;;;;;;;;
20-04-2020;419;10507;4676;139;5692;;419;5692;;;4676;;;;;;;;
21-04-2020;325;10832;4969;147;5716;;325;5716;;;4969;;;;;;;;
22-04-2020;464;11296;5386;160;5750;;464;5750;;;5386;;;;;;;;
23-04-2020;516;11812;5804;168;5840;;516;5840;;;5804;;;;;;;;
24-04-2020;494;12306;6327;174;5805;;494;5805;;;6327;;;;;;;;
25-04-2020;552;12858;6746;181;5931;;552;5931;;;6746;;;;;;;;
26-04-2020;473;13331;7024;189;6118;;473;6118;;;7024;;;;;;;;
27-04-2020;482;13813;7327;198;6288;;482;6288;;;7327;;;;;;;;
28-04-2020;552;14365;7710;207;6448;;552;6448;;;7710;;;;;;;;
29-04-2020;520;15135;8057;216;6862;250;770;6862;;;8057;;;;;;;;
30-04-2020;780;16023;8580;227;7216;108;888;7216;;;8580;;;;;;;;
01-05-2020;882;17008;9018;234;7756;103;985;7756;;;9018;;;;;;;;
02-05-2020;1246;18435;9572;247;8616;181;1427;8616;;;9572;;;;;;;;
03-05-2020;1112;19663;10041;260;9362;116;1228;9362;;;10041;;;;;;;;
04-05-2020;876;20643;10415;270;9958;104;980;9958;;;10415;;;;;;;;
05-05-2020;1317;22016;10710;275;11031;56;1373;11031;;;10710;;;;;;;;
06-05-2020;893;23048;11189;281;11578;139;1032;11578;;;11189;;;;;;;;
07-05-2020;1343;24581;11664;285;12632;190;1533;12632;;;11664;;;;;;;;
08-05-2020;1183;25972;12160;294;13518;208;1391;13518;;;12160;;;;;;;;
09-05-2020;1004;27219;12667;304;14248;243;1247;14248;;;12667;;;;;;;;
10-05-2020;1406;28866;13112;312;15442;241;1647;15442;;;13112;;;;;;;;
11-05-2020;975;30063;13605;323;16135;222;1197;16135;;;13605;;;;;;;;
12-05-2020;1479;31721;14125;335;17261;179;1658;17261;;;14125;;;;;;;;
13-05-2020;2152;34381;14865;346;19170;508;2660;19170;;;14865;;;;;;;;
14-05-2020;2301;37040;15655;368;21017;358;2659;21017;;;15655;;;;;;;;
15-05-2020;2112;39542;16614;394;22534;390;2502;22534;;;16614;;;;;;;;
16-05-2020;1573;41428;18014;421;22993;313;1886;22993;;;18014;;;;;;;;
17-05-2020;2024;43781;19213;450;24118;329;2353;24118;;;19213;;;;;;;;
18-05-2020;2018;46059;20165;478;25416;260;2278;25416;;;20165;;;;;;;;
19-05-2020;3099;49579;21507;509;27563;421;3520;27563;;;21507;;;;;;;;
20-05-2020;3647;53617;22504;544;30569;391;4038;30569;;;22504;;;;;;;;
21-05-2020;3538;57581;23992;589;33000;426;3964;33000;;;23992;;;;;;;;
22-05-2020;3863;61857;25342;630;35885;413;4276;35885;;;25342;;;;;;;;
23-05-2020;3237;65393;26546;673;38174;299;3536;38174;;;26546;;;;;;;;
24-05-2020;3343;69102;28148;718;40236;366;3709;40236;;;28148;;;;;;;;
25-05-2020;4428;73997;29302;761;43934;467;4895;43934;;;29302;;;;;;;;
26-05-2020;3618;77961;30915;806;46240;346;3964;46240;;;30915;;;;;;;;
27-05-2020;3956;82289;33540;841;47908;372;4328;47908;;;33540;;;;;;;;
28-05-2020;4128;86943;36115;890;49938;526;4654;49938;;;36115;;;;;;;;
29-05-2020;3355;90638;38598;944;51096;340;3695;51096;;;38598;;;;;;;;
30-05-2020;3736;94858;40431;997;53430;484;4220;53430;;;40431;;;;;;;;
31-05-2020;4437;99688;42727;1054;55907;393;4830;55907;;;42727;;;;;;;;
01-06-2020;5082;105159;44946;1113;59100;389;5471;59100;;;44946;;;;;;;;
02-06-2020;3206;108686;;1188;;321;3527;59107;;;48391;;;;;;;;
03-06-2020;4537;113628;;1275;;405;4942;60011;;;52342;;;;;;;;
04-06-2020;4172;118292;;1356;;492;4664;60711;;;56225;;;;;;;;
05-06-2020;3790;122499;;1448;;417;4207;60642;;;60409;;;;;;;;
06-06-2020;4888;127745;;1541;;358;5246;62352;;;63852;;;;;;;;
07-06-2020;5760;134150;;2190;;645;6405;65048;;;66912;;;;;;;;
08-06-2020;4237;138846;;2264;;459;4696;64849;;;71733;;;;;;;;
09-06-2020;3587;142759;;2283;;326;3913;64798;;;75678;;;;;;;;
10-06-2020;5226;148496;;2475;;511;5737;66207;;;79814;;;;;;;;
11-06-2020;5089;154092;;2648;;507;5596;67149;;;84295;;;;;;;;
12-06-2020;6217;160846;;2870;;537;6754;70208;;;87768;;;;;;;;
13-06-2020;5969;167355;;3101;;540;6509;72497;;;91757;;;;;;;;
14-06-2020;6368;174293;;3323;;570;6938;74605;;;96365;;;;;;;;
15-06-2020;4660;179436;;3362;;483;5143;74277;;;101797;;;;;;;;
16-06-2020;4498;184449;;3383;;515;5013;75763;;;105303;;;;;;;;
17-06-2020;4320;220628;;3615;;437;4757;75346;;;141667;;;;;;;;
18-06-2020;4060;225103;;3841;;383;4475;106811;;;114451;;;;;;;;
19-06-2020;5016;231393;;4093;;599;6290;108894;;;118406;;;;;;;;
20-06-2020;4564;236748;;4295;;418;5355;109003;;;123450;;;;;;;;
21-06-2020;4181;242355;;4479;37307;594;5607;108205;37307;200569;129671;200569;37307;21897;10482;;;;
22-06-2020;3710;246963;;4502;37064;399;4608;108117;37064;205397;134344;205397;37064;22307;10029;;;;
23-06-2020;3078;250767;;4505;35692;336;3804;108008;35692;210570;138254;210570;35692;24881;9403;;;;
24-06-2020;3020;254416;;4731;34592;264;3649;105920;34592;215093;143765;215093;34592;26184;9674;;;;
25-06-2020;3778;259064;;4903;34834;423;4648;104972;34834;219327;149189;219327;34834;27193;9646;;;;
26-06-2020;3422;263360;;5068;34861;413;4296;102514;34861;223431;155778;223431;34861;28133;9720;;;;
27-06-2020;3481;267766;;5347;34364;426;4406;100411;34364;228055;162008;228055;34364;29019;9659;;;;
28-06-2020;3396;271982;;5509;34263;402;4216;97689;34263;232210;168784;232210;34263;29733;9595;;;;
29-06-2020;3092;275999;;5575;34270;432;4017;96563;34270;236154;173861;236016;34270;30362;9320;;;;
30-06-2020;2690;279393;;5688;32476;338;3394;94944;32476;241229;178761;241229;32476;30582;8385;;;;
01-07-2020;2134;282043;;5753;30847;300;2650;61415;30847;245443;214875;245443;30847;30980;7806;;;;
02-07-2020;2042;284541;;5920;29374;230;2498;59438;29374;249247;219183;249247;29374;32013;7921;;;;
03-07-2020;2703;288089;;6051;28695;322;3548;56696;28695;253343;225342;253343;28695;32578;7543;;;;
04-07-2020;2951;291847;;6192;28210;371;3758;55099;28210;257445;230556;257445;28210;33933;7986;;;;
05-07-2020;2852;295532;;6308;28194;438;3685;53177;28194;261030;236047;261032;28194;34651;7785;;;;
06-07-2020;2354;298557;;6384;27804;404;3025;51594;27804;264369;240579;264371;27804;34901;7263;;;;
07-07-2020;1946;301019;;6434;26340;266;2462;50252;26340;268245;244333;268245;26340;35134;6536;;;;
08-07-2020;1638;303083;;6573;24807;265;2064;48667;24807;271703;247843;271703;24807;35905;6513;;;;
09-07-2020;2395;306216;;6682;24612;432;3133;47152;24612;274922;252382;274922;24612;36640;6518;;;;
10-07-2020;2392;309274;;6781;24440;460;3058;45914;24440;278053;256579;278053;24440;37400;6633;;;;
11-07-2020;2219;312029;;6881;24008;405;2755;44263;24008;281140;260885;280161;24008;38090;6609;;;;
12-07-2020;2371;315041;;6979;24166;389;3012;43059;24166;283896;265003;283902;24166;38724;6637;;;;
13-07-2020;1985;317657;;7024;24077;451;2616;41658;24077;286556;268975;286556;24077;39038;6321;;;;
14-07-2020;1444;319493;;7069;23205;244;1836;40100;23205;289219;272324;289220;23205;39219;5800;;;;
15-07-2020;1400;321205;;7186;21934;186;1712;39162;21934;292085;274857;292085;21934;39270;5601;;;;
16-07-2020;1949;323698;;7290;21107;367;2475;39157;21107;295301;277251;295301;21107;38833;5390;;;;
17-07-2020;2125;326539;;8347;21378;545;2840;38450;21378;296814;279742;296814;21378;40056;4922;;;;
18-07-2020;1624;328846;;8445;20952;373;2185;36999;20952;299449;283402;299449;20952;39477;4227;188;;;
19-07-2020;1615;330930;;8503;20633;359;2082;35398;20633;301794;287029;301794;20633;38695;3487;108;;;
20-07-2020;1599;333029;;8633;20404;340;2099;34472;20404;303992;289924;303992;20404;38294;2743;160;;;
21-07-2020;1342;334683;;8677;19190;230;1656;33664;19190;306816;292342;306816;19190;39828;2414;84;;;
22-07-2020;1391;336402;;8722;18439;238;1741;33319;18439;309241;294361;309241;18439;39568;1853;112;;;
23-07-2020;1841;338759;;8838;18490;379;2371;32543;18490;311431;297378;311431;18490;39282;1511;151;;;
24-07-2020;2005;341304;;8914;18694;373;2545;32030;18694;313696;300360;313696;18694;39930;1305;167;;;
25-07-2020;1752;343592;;9020;18403;399;2287;31563;18403;316169;303009;316169;18403;39757;1076;136;;;
26-07-2020;1620;345790;;9112;18583;449;2198;30749;18583;318095;305929;318095;18583;39686;887;129;;;
27-07-2020;1475;347923;;9187;18782;487;2133;30266;18782;319954;308470;319954;18782;39662;730;171;;;
28-07-2020;1236;349800;;9240;18228;462;1876;30307;18228;322332;310253;322332;18228;39625;640;178;;;
29-07-2020;1294;351575;;9278;17740;346;1773;30370;17740;324557;311927;324557;17740;39554;629;133;;;
30-07-2020;1428;353536;;9377;17531;388;1948;29838;17531;326628;314321;326628;17531;39523;616;132;;;
31-07-2020;1540;355667;;9457;17883;450;2123;29128;17883;328327;317082;328327;17883;39594;654;133;;;
01-08-2020;1426;357658;;9533;17621;440;1979;28812;17621;330504;319313;330507;17621;39616;645;113;;;
02-08-2020;1482;359731;;9608;17712;473;2081;28801;17712;332411;321322;332411;17712;39600;665;126;;;
03-08-2020;1119;361493;;9707;17810;527;1762;28464;17810;333976;323322;333976;17810;39649;622;116;;;
04-08-2020;1049;362962;;9745;16887;350;1462;28279;16887;336330;324938;336330;16887;39638;547;63;;;
05-08-2020;1216;364723;;9792;16640;482;1781;28321;16640;338291;326610;338291;16640;40683;1207;83;;;
06-08-2020;1383;366671;;9889;16614;403;1947;27912;16614;340168;328870;340168;16614;41400;1625;161;;;
07-08-2020;1479;368825;;9958;16699;570;2149;27521;16699;342168;331346;342168;16699;42049;2028;100;;;
08-08-2020;1511;371023;;10011;16880;604;2201;27431;16880;344132;333581;344133;16880;42506;2298;86;;;
09-08-2020;1452;373056;;10077;17153;502;2036;27266;17153;345826;335713;345826;17153;42999;2638;82;;;
10-08-2020;1319;375044;;10139;17563;605;1988;27121;17563;347342;337784;347342;17563;43152;2669;64;;;
11-08-2020;1061;376616;;10178;16897;424;1566;26816;16897;349541;339622;349541;16897;43300;2625;81;;;
12-08-2020;1071;378168;;10205;16544;421;1540;26593;16544;351419;341370;351419;16544;43921;2970;48;;;
13-08-2020;1343;380034;;10299;16604;425;1852;26498;16604;353131;343237;353131;16604;44501;3247;84;;;
14-08-2020;1396;382111;;10340;16734;616;2077;26444;16734;355037;345327;355037;16734;44984;3535;65;;;
15-08-2020;1158;383902;;10395;16556;552;1777;26244;16556;356951;347263;356951;16556;45327;3641;67;;;
16-08-2020;1383;385946;;10452;16666;634;2086;26215;16666;358828;349279;358828;16666;45731;3702;69;;;
17-08-2020;1012;387502;;10513;16604;480;1556;26009;16604;360385;350980;360385;16604;45818;3489;64;;;
18-08-2020;846;388855;;10546;15869;443;1336;25893;15869;362440;352416;362440;15869;45939;3184;47;;;
19-08-2020;876;390037;;10578;15174;316;1233;25314;15174;364285;354145;364285;15174;46333;3210;41;;;
20-08-2020;1265;391849;;10671;15116;453;1813;25178;15116;366062;356000;366063;15116;46657;3189;95;;;
21-08-2020;1328;393769;;10723;15149;496;1920;24944;15149;367897;358102;367897;15149;47054;3290;96;;;
